epoch,train_loss,train_acc,test_loss,test_acc
39,2.0224691833496093,56.096000000000004,1.734829081764704,61.5
40,2.0444181114196778,56.326,1.7411792912060702,61.57
41,2.076571577911377,55.903,1.7511593375024916,61.58
42,2.114821683807373,55.41,1.7758986044533644,61.87
43,2.1246336445617677,55.414,1.7749678575539891,61.7
44,2.17233398147583,54.736999999999995,1.8289610796336886,61.49
45,2.1761920361328126,54.872,1.8346016346653806,61.42
46,2.1990493940734863,54.567,1.8667380236372162,61.68
47,2.2226862271118164,54.359,1.8846614783323263,61.77
48,2.233261911315918,54.274,1.9135441493384446,61.62
49,2.263448999328613,54.022999999999996,1.8968600110162663,61.32
50,2.2972875146484375,53.641000000000005,1.9320297573186174,61.22
51,2.29371890335083,53.638999999999996,1.9005976341947723,61.61
52,2.300796487579346,53.774,1.9429672186887716,61.25
53,2.3409951873779296,53.474000000000004,1.931061015853399,61.8
54,2.3219544674682617,53.691,1.8834903104395806,62.03
55,2.3208084130859374,53.863,1.8841754816755463,62.42
56,2.338233323059082,53.635000000000005,1.9384329017204573,62.04
57,2.355611434173584,53.366,1.9241793819620638,61.87
58,2.376931387939453,53.397999999999996,1.9485962043834637,61.91
59,2.3821806852722167,53.304,1.9713088002385972,62.02
60,2.392118051452637,53.095,1.9225583604619474,62.74
61,2.378665499725342,53.459999999999994,1.9645275435870206,62.23
62,2.3997605255126953,53.16,1.951702344266674,61.95
63,2.410254416503906,53.010000000000005,1.9639156890820852,62.57
64,2.4188888943481444,53.082,2.0092671264576007,62.29
65,2.416885203704834,53.295,1.974035516569886,62.26
66,2.4314872988891603,53.11,1.963635625718515,62.41
67,2.4277995767211915,52.969,1.960727542261534,63.02
68,2.457891926422119,52.857,2.012142365491843,62.67
69,2.457247044067383,53.096000000000004,1.9679053010819834,62.81
70,2.470857018280029,52.931,2.012115928191173,62.26
71,2.4910373306274414,52.705,1.9493914314463168,63.11
72,2.446973582611084,53.073,1.9997686057151118,62.96
73,2.4867021083068845,52.897999999999996,1.9671246386781525,63.07
74,2.458083024749756,53.013999999999996,1.9818451661097853,63.44
75,2.475984981994629,53.084,2.0156515519830247,62.73
76,2.4800414266967774,52.935,1.9819159160686444,62.79
77,2.5004959800720217,52.872,2.015600903124749,62.96
78,2.494287826538086,52.916,2.0058125031145315,63.49
79,2.4973127925109866,53.03,2.0363128185272217,63.21
80,2.503192294769287,53.06,2.0574935961373244,62.69
81,2.5221425816345215,52.828,2.0024732155135916,63.59
