epoch,train_acc,train_loss,test_acc,test_loss,gpu_memory
0,6.144,4.188191246803459,8.67,3.9125467777252196,917.99462890625
1,10.37,3.8781949217667053,13.1,3.640629827976227,917.99462890625
2,14.608,3.641043737416377,17.78,3.355857139825821,917.99462890625
3,19.226,3.382024691842706,23.62,2.985084980726242,917.99462890625
4,24.082,3.118790249080609,27.5,2.8713014245033266,917.99462890625
5,27.666,2.937272254768235,27.52,2.8581582427024843,917.99462890625
6,30.692,2.8121121271187084,33.44,2.551974368095398,917.99462890625
7,33.074,2.7054189611273958,34.89,2.485239028930664,917.99462890625
8,34.346,2.646914292479415,37.9,2.385000044107437,917.99462890625
9,35.83,2.594926004824431,36.36,2.488564783334732,917.99462890625
10,37.062,2.5411270359897857,40.56,2.2618687570095064,917.99462890625
11,38.116,2.502330864786797,39.47,2.310557073354721,917.99462890625
12,38.598,2.475714599994747,39.74,2.3473026156425476,917.99462890625
13,39.334,2.450307800336872,40.58,2.272172915935516,917.99462890625
14,39.844,2.4252266874703605,40.82,2.255743998289108,917.99462890625
15,40.53,2.402181289385042,42.03,2.1830004125833513,917.99462890625
16,40.668,2.3828735095460702,41.0,2.246114319562912,917.99462890625
17,41.188,2.361648120538658,41.9,2.2183805823326113,917.99462890625
18,41.366,2.354971639945379,38.98,2.308957952260971,917.99462890625
19,41.792,2.3386769145346054,43.23,2.1680208116769792,917.99462890625
20,41.826,2.330267525085098,40.62,2.294429433345795,917.99462890625
21,42.332,2.309314420156162,42.84,2.17143796980381,917.99462890625
22,42.712,2.2970302864108856,39.47,2.358753579854965,917.99462890625
23,43.088,2.28801336526261,40.46,2.217707481980324,917.99462890625
24,43.376,2.2806855946245705,42.2,2.194788408279419,917.99462890625
25,43.454,2.274827284581216,41.23,2.265877377986908,917.99462890625
26,43.672,2.261010093762137,44.79,2.073804086446762,917.99462890625
27,43.726,2.2630999646223415,42.09,2.1904210329055784,917.99462890625
28,44.006,2.2530412902612516,41.42,2.276275968551636,917.99462890625
29,44.198,2.2413695385998778,43.37,2.151638609170914,917.99462890625
30,44.326,2.2355016058363266,40.59,2.3718721508979796,917.99462890625
31,44.576,2.229561007846042,40.2,2.379741406440735,917.99462890625
32,44.66,2.224589796627269,43.42,2.2154403626918793,917.99462890625
33,44.488,2.216425624649848,47.23,2.015172278881073,917.99462890625
34,45.07,2.2015983713862233,44.5,2.141835871338844,917.99462890625
35,44.902,2.204303166445564,47.69,1.954446756839752,917.99462890625
36,45.002,2.1985497880164924,42.3,2.265761172771454,917.99462890625
37,45.1,2.196503876420238,44.94,2.075193938612938,917.99462890625
38,45.054,2.1935157928320455,44.33,2.1851773858070374,917.99462890625
39,45.462,2.1832525705742407,43.06,2.157573539018631,917.99462890625
40,45.134,2.183394757683015,40.39,2.361948812007904,917.99462890625
41,45.456,2.1817022037628058,42.76,2.1975600510835647,917.99462890625
42,45.456,2.1779328993214366,46.45,2.0570272743701934,917.99462890625
43,45.512,2.173160978290431,44.74,2.121233972907066,917.99462890625
44,45.834,2.1707407760498163,43.77,2.143195378780365,917.99462890625
45,45.668,2.1697268397606853,45.23,2.130634734034538,917.99462890625
46,45.992,2.1580663312731496,42.6,2.1977408587932588,917.99462890625
47,46.272,2.155632705029929,44.66,2.1770020097494127,917.99462890625
48,45.572,2.1567602755163637,42.98,2.1686466544866563,917.99462890625
49,46.042,2.148302573072331,42.92,2.1611623585224153,917.99462890625
50,45.992,2.1470717045352283,45.96,2.064743256568909,917.99462890625
51,46.066,2.147590658243965,43.56,2.183265116810799,917.99462890625
52,45.93,2.1467311982913397,45.57,2.075574266910553,917.99462890625
53,46.43,2.1371141928236197,47.75,1.994646742939949,917.99462890625
54,46.458,2.135536819162881,36.12,2.5477647602558138,917.99462890625
55,46.32,2.144738480258171,46.76,2.049259918928146,917.99462890625
56,46.58,2.133009870948694,47.08,1.9981040209531784,917.99462890625
57,46.302,2.1351412754229573,42.1,2.2653046905994416,917.99462890625
58,46.55,2.131744674709447,43.74,2.1192737370729446,917.99462890625
59,46.63,2.1275124519377413,44.84,2.1396679431200027,917.99462890625
